Address,Description,Write,MaxDisplay,Multiplier,Unit,Low,High,Value,Comment
1,Relay IO / Modbus,TRUE,1,none,none,none,none,1,0: Relay I/O (default) & 1: Modbus TCP
2,Power ON/OFF,TRUE,1,none,none,none,none,1,0: OFF (default) & 1: ON
3,RF ON/OFF,TRUE,1,none,none,none,none,1,0: OFF (default) & 1: ON
4,Reset Alarm,TRUE,1,none,none,none,none,0,0: Done (default) & 1: Reset in progress
5,Reset All,TRUE,1,none,none,none,none,0,0: Done (default) & 1: Reset in progress
6,none,none,none,none,none,none,none,none,none
7,none,none,none,none,none,none,none,none,none
8,none,none,none,none,none,none,none,none,none
9,none,none,none,none,none,none,none,none,none
10,Watchdog counter,FALSE,255,none,n/a,none,none,128,1/sec
11,Alarm code,FALSE,9090,none,n/a,none,none,0,0: No alarm & Others: Refer to the instruction manual
12,Warning code,FALSE,9091,none,n/a,none,none,0,0: No warning & Others: Refer to the instruction manual
13,Power ON/OFF Status,FALSE,1,none,none,none,none,1,0: OFF & 1: ON
14,RF ON/OFF Status,FALSE,1,none,none,none,none,1,0: OFF & 1: ON
15,Remote / Local,FALSE,1,none,none,none,none,1,0: Local & 1: Remote
16,Forward Power,FALSE,3500,0.1,kW,none,315,3000,Status Value
17,Reflected Power,FALSE,3500,0.1,kW,none,285,2850,Status Value
18,Rack1 Inlet LCW Water flow rate,FALSE,99,1,L/min.,3,none,4,Status Value
19,Rack1 Inlet LCW Temperature,FALSE,99,1,deg.C,none,38,30,Status Value
20,Rack1 Outlet LCW Water flow rate1,FALSE,99,1,L/min.,1,none,2,Status Value
21,Rack1 Outlet LCW Temperature1,FALSE,99,1,deg.C,none,45,31,Status Value
22,Rack1 Outlet LCW Water flow rate2,FALSE,99,1,L/min.,1,none,3,Status Value
23,Rack1 Outlet LCW Temperature2,FALSE,99,1,deg.C,none,45,32,Status Value
24,Rack1 Outlet LCW Water flow rate3,FALSE,99,1,L/min.,1,none,2,Status Value
25,Rack1 Outlet LCW Temperature3,FALSE,99,1,deg.C,none,45,33,Status Value
26,Rack2 Inlet LCW Water flow rate,FALSE,99,1,L/min.,4,none,6,Status Value
27,Rack2 Inlet LCW Temperature,FALSE,99,1,deg.C,none,38,34,Status Value
28,Rack2 Outlet LCW Water flow rate1,FALSE,99,1,L/min.,1,none,3,Status Value
29,Rack2 Outlet LCW Temperature1,FALSE,99,1,deg.C,none,45,35,Status Value
30,Rack2 Outlet LCW Water flow rate2,FALSE,99,1,L/min.,1,none,2,Status Value
31,Rack2 Outlet LCW Temperature2,FALSE,99,1,deg.C,none,45,36,Status Value
32,Rack2 Outlet LCW Water flow rate3,FALSE,99,1,L/min.,1,none,3,Status Value
33,Rack2 Outlet LCW Temperature3,FALSE,99,1,deg.C,none,45,37,Status Value
34,Rack2 Outlet LCW Water flow rate4,FALSE,99,1,L/min.,1,none,3,Status Value
35,Rack2 Outlet LCW Temperature4,FALSE,99,1,deg.C,none,45,38,Status Value
36,Controller CPU Version,FALSE,9999,0.01,none,none,none,110,Status Value
37,Controller FPGA1 Version,FALSE,9999,0.01,none,none,none,110,Status Value
38,Controller FPGA2 Version,FALSE,9999,0.01,none,none,none,110,Status Value
39,none,FALSE,none,none,none,none,none,none,none
40,FA1 Voltage1,FALSE,999,0.1,V,45,55,488,Status Value
41,FA1 Voltage2,FALSE,999,0.1,V,45,55,493,Status Value
42,FA1 Voltage3,FALSE,999,0.1,V,45,55,480,Status Value
43,FA1 Voltage4,FALSE,999,0.1,V,45,55,493,Status Value
44,FA1 Current1,FALSE,666,0.1,A,5,55,235,Status Value
45,FA1 Current2,FALSE,666,0.1,A,5,55,256,Status Value
46,FA1 Current3,FALSE,666,0.1,A,5,55,297,Status Value
47,FA1 Current4,FALSE,666,0.1,A,5,55,271,Status Value
48,FA1 Temperature,FALSE,700,0.1,deg.C,20,55,291,Status Value
49,FA1 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
50,FA2 Voltage1,FALSE,999,0.1,V,45,55,492,Status Value
51,FA2 Voltage2,FALSE,999,0.1,V,45,55,487,Status Value
52,FA2 Voltage3,FALSE,999,0.1,V,45,55,480,Status Value
53,FA2 Voltage4,FALSE,999,0.1,V,45,55,475,Status Value
54,FA2 Current1,FALSE,666,0.1,A,5,55,236,Status Value
55,FA2 Current2,FALSE,666,0.1,A,5,55,175,Status Value
56,FA2 Current3,FALSE,666,0.1,A,5,55,240,Status Value
57,FA2 Current4,FALSE,666,0.1,A,5,55,357,Status Value
58,FA2 Temperature,FALSE,700,0.1,deg.C,20,55,441,Status Value
59,FA2 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
60,FA3 Voltage1,FALSE,999,0.1,V,45,55,482,Status Value
61,FA3 Voltage2,FALSE,999,0.1,V,45,55,514,Status Value
62,FA3 Voltage3,FALSE,999,0.1,V,45,55,477,Status Value
63,FA3 Voltage4,FALSE,999,0.1,V,45,55,504,Status Value
64,FA3 Current1,FALSE,666,0.1,A,5,55,342,Status Value
65,FA3 Current2,FALSE,666,0.1,A,5,55,270,Status Value
66,FA3 Current3,FALSE,666,0.1,A,5,55,385,Status Value
67,FA3 Current4,FALSE,666,0.1,A,5,55,287,Status Value
68,FA3 Temperature,FALSE,700,0.1,deg.C,20,55,299,Status Value
69,FA3 FPGA Version,FALSE,9999,0.01,none,0,none,110,Status Value
70,FA4 Voltage1,FALSE,999,0.1,V,45,55,500,Status Value
71,FA4 Voltage2,FALSE,999,0.1,V,45,55,504,Status Value
72,FA4 Voltage3,FALSE,999,0.1,V,45,55,517,Status Value
73,FA4 Voltage4,FALSE,999,0.1,V,45,55,494,Status Value
74,FA4 Current1,FALSE,666,0.1,A,5,55,300,Status Value
75,FA4 Current2,FALSE,666,0.1,A,5,55,388,Status Value
76,FA4 Current3,FALSE,666,0.1,A,5,55,211,Status Value
77,FA4 Current4,FALSE,666,0.1,A,5,55,409,Status Value
